ActionStrategy,Fermi(K=0.5),ImitationStrategy,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)"
0.51425,0.006675,0.008343333333333324,0.38678250000000003
0.51425,0.028294166666666648,0.02164249999999999,0.37277666666666665
0.51425,0.023945833333333333,0.006083333333333325,0.3712791666666666
0.51425,0.007527500000000001,0.031149166666666665,0.3816716666666667
0.51425,0.05617,0.0042499999999999856,0.37626916666666665
0.51425,0.07322583333333332,0.0011666666666666678,0.37624416666666666
0.51425,0.1176575,0.07544500000000001,0.3821983333333333
0.51425,0.039704166666666665,0.032083333333333325,0.38079
0.51425,0.048255,0.004249166666666666,0.38140583333333333
