payoff,network,strategy,barC,chi_bar,smax_bar,absorbed,absorb_state,t_absorb,n_steps_executed,cluster_samples_json,cluster_sizes_window_json,strategy_short
beta_0.00,ER_k4,ImitationStrategy,0.007777778,0,0.001111111,FALSE,,1000,1000,"[{""t"": 1, ""sizes"": [373, 4, 1, 5, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 101, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 151, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 201, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 251, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 301, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 351, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 401, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 451, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 501, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 551, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 601, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 651, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 701, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 751, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 801, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 851, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 901, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 951, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.01,0,0.001111111,FALSE,,1000,1000,"[{""t"": 1, ""sizes"": [3, 1, 389, 1, 5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 2, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 101, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 151, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 201, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 251, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 301, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 351, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 401, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 451, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 501, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 551, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 601, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 651, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 701, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 751, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 801, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 851, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 901, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 951, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.015555556,0,0.001111111,FALSE,,1000,1000,"[{""t"": 1, ""sizes"": [395, 4, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 101, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 151, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 201, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 251, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 301, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 351, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 401, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 451, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 501, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 551, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 601, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 651, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 701, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 751, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 801, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 851, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 901, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 951, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.008888889,0,0.001111111,FALSE,,1000,1000,"[{""t"": 1, ""sizes"": [1, 354, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 3, 2, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 101, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 151, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 201, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 251, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 301, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 351, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 401, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 451, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 501, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 551, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 601, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 651, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 701, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 751, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 801, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 851, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 901, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 951, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.011111111,0,0.001111111,FALSE,,1000,1000,"[{""t"": 1, ""sizes"": [379, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 101, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 151, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 201, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 251, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 301, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 351, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 401, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 451, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 501, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 551, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 601, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 651, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 701, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 751, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 801, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 851, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 901, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 951, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.011111111,0,0.001111111,FALSE,,1000,1000,"[{""t"": 1, ""sizes"": [334, 1, 1, 5, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 5, 1, 1, 3, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 101, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 151, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 201, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 251, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 301, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 351, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 401, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 451, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 501, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 551, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 601, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 651, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 701, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 751, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 801, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 851, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 901, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 951, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.007777778,0,0.001111111,FALSE,,1000,1000,"[{""t"": 1, ""sizes"": [342, 1, 1, 1, 3, 2, 2, 1, 1, 2, 1, 1, 1, 3, 6, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 101, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 151, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 201, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 251, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 301, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 351, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 401, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 451, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 501, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 551, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 601, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 651, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 701, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 751, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 801, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 851, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 901, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 951, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.008888889,0,0.001111111,FALSE,,1000,1000,"[{""t"": 1, ""sizes"": [346, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 101, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 151, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 201, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 251, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 301, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 351, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 401, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 451, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 501, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 551, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 601, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 651, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 701, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 751, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 801, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 851, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 901, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 951, ""sizes"": [1, 1, 1, 1, 1, 1, 1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.007777778,0,0.001111111,FALSE,,1000,1000,"[{""t"": 1, ""sizes"": [360, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 3, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 3, 1, 2, 1, 3, 1, 3, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 101, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 151, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 201, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 251, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 301, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 351, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 401, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 451, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 501, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 551, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 601, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 651, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 701, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 751, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 801, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 851, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 901, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}, {""t"": 951, ""sizes"": [1, 1, 1, 1, 1, 1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_0.00,ER_k4,ImitationStrategy,0.005555556,0,0.001111111,FALSE,,1000,1000,"[{""t"": 1, ""sizes"": [329, 2, 8, 1, 3, 1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 5, 2, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 101, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 151, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 201, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 251, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 301, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 351, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 401, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 451, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 501, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 551, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 601, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 651, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 701, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 751, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 801, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 851, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 901, ""sizes"": [1, 1, 1, 1, 1]}, {""t"": 951, ""sizes"": [1, 1, 1, 1, 1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
