payoff,network,strategy,strategy_short,mean_barC,std_barC,mean_smax,std_smax,mean_chi,std_chi,Pr_allC,Pr_allD,mean_t_absorb,std_t_absorb
beta_0.00,ER_k4,ImitationStrategy,Imitate,0.009444444,0.002734226,0.001111111,0,0,0,0,0,1000,0
beta_0.00,Grid_30x30,ImitationStrategy,Imitate,0.249777778,0.006501029,,,,,0,1,2,0
beta_0.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.244611111,0.011597532,,,,,0,1,2,0
beta_0.50,ER_k4,ImitationStrategy,Imitate,0.008455111,0.00245958,0.001283111,0.000381441,0.16,0.350238014,0,0,1000,0
beta_0.50,Grid_30x30,ImitationStrategy,Imitate,0.069071937,0.004571625,,,,,0,1,12.4,0.516397779
beta_0.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.066609203,0.007856545,,,,,0,1,14.4,2.503331114
beta_1.00,ER_k4,ImitationStrategy,Imitate,0.011664889,0.00402953,0.001889778,0.000378257,0.69,0.334829973,0,0,1000,0
beta_1.00,Grid_30x30,ImitationStrategy,Imitate,0.050905368,0.034026482,0.003917778,0.001452676,1.255336134,0.99321601,0,0.6,418.1,500.8462727
beta_1.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.030209504,0.017242462,0.003263333,5.76E-05,1.808861296,0.083272472,0,0.2,817.1,386.3212394
beta_1.50,ER_k4,ImitationStrategy,Imitate,0.016957111,0.005065691,0.002194222,5.78E-05,0.97,0.067494856,0,0,1000,0
beta_1.50,Grid_30x30,ImitationStrategy,Imitate,0.029429646,0.015348987,0.003439683,0.000859848,1.155778037,0.842275788,0,0.3,731.1,433.2257431
beta_1.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.040986667,0.006826658,0.003952222,0.000666717,2.219094146,0.252688677,0,0,1000,0
beta_2.00,ER_k4,ImitationStrategy,Imitate,0.022212222,0.006991612,0.002930667,0.000784091,1.23116178,0.21453354,0,0,1000,0
beta_2.00,Grid_30x30,ImitationStrategy,Imitate,0.02541,0.006136334,0.004518667,0.00070772,2.01778399,0.319558969,0,0,1000,0
beta_2.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.044168222,0.011575065,0.004559333,0.001509699,2.294525379,0.254927068,0,0,1000,0
beta_2.50,ER_k4,ImitationStrategy,Imitate,0.024665556,0.007569364,0.002948222,0.000398408,1.344398887,0.161756315,0,0,1000,0
beta_2.50,Grid_30x30,ImitationStrategy,Imitate,0.031882889,0.009640266,0.004288889,0.001014427,2.109023363,0.382507049,0,0,1000,0
beta_2.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.059794444,0.01341822,0.005877556,0.001314138,2.55656996,0.248154788,0,0,1000,0
beta_3.00,ER_k4,ImitationStrategy,Imitate,0.02929,0.009094493,0.003116667,0.00098988,1.316452951,0.32344095,0,0,1000,0
beta_3.00,Grid_30x30,ImitationStrategy,Imitate,0.043471778,0.010932823,0.006960222,0.003206516,2.479925719,0.643372419,0,0,1000,0
beta_3.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.085514667,0.014808181,0.009396,0.004298286,2.849640107,0.320230052,0,0,1000,0
beta_3.50,ER_k4,ImitationStrategy,Imitate,0.032086222,0.007654114,0.003506,0.001305721,1.419897145,0.236150395,0,0,1000,0
beta_3.50,Grid_30x30,ImitationStrategy,Imitate,0.040342444,0.009208804,0.006178667,0.003936812,2.127524666,0.423690652,0,0,1000,0
beta_3.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.094316,0.0186374,0.008975556,0.002669384,3.204976207,0.484532108,0,0,1000,0
beta_4.00,ER_k4,ImitationStrategy,Imitate,0.036021778,0.007140672,0.004129333,0.00073035,1.742785303,0.171049381,0,0,1000,0
beta_4.00,Grid_30x30,ImitationStrategy,Imitate,0.045743111,0.010525376,0.007524889,0.003216675,2.465930295,0.456480913,0,0,1000,0
beta_4.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.089366889,0.015386294,0.008132889,0.002559115,3.044873587,0.372463271,0,0,1000,0
beta_4.50,ER_k4,ImitationStrategy,Imitate,0.032891111,0.012889068,0.003557333,0.001050126,1.477958943,0.329746516,0,0,1000,0
beta_4.50,Grid_30x30,ImitationStrategy,Imitate,0.057548667,0.011807417,0.00849,0.00295932,2.89276535,0.436886656,0,0,1000,0
beta_4.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.113918667,0.01290712,0.011592889,0.003274313,3.719675882,0.513248645,0,0,1000,0
beta_5.00,ER_k4,ImitationStrategy,Imitate,0.036924889,0.004944548,0.003462,0.000696252,1.548530473,0.161387815,0,0,1000,0
beta_5.00,Grid_30x30,ImitationStrategy,Imitate,0.071623111,0.016857453,0.009729778,0.004243362,3.076794585,0.480865213,0,0,1000,0
beta_5.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.115824444,0.015794192,0.010838444,0.002177705,3.665481051,0.521939853,0,0,1000,0
