network,strategy,beta_c_peak_chi,beta_c_inflect_smax,beta_c_mid_smax,beta_c_thr_C,beta_c_thr_Smax,beta_min,beta_max,chi_peak,smax_min,smax_max
ER_k4,ImitationStrategy,2.5,1.0,1.311441097277518,,,0.5,2.5,2.18743393038975,0.0035325877192982453,0.013626500000000001
ER_k4,TitForTatStrategy,1.2,0.8,1.8118811881188113,0.6028571428571311,,0.5,2.5,1.5262357242661464,0.3563333333333333,0.4025416666666667
Grid_20x20,ImitationStrategy,2.5,1.5,1.6156323968302975,,,0.5,2.5,3.688267895846635,0.006895277777777779,0.02498757834757835
Grid_20x20,TitForTatStrategy,0.5,1.5,0.5,1.072486798166538,,0.5,2.5,0.0,0.0025,0.0025
WS_k4_p0.05,ImitationStrategy,2.5,1.2,1.350948287544115,,,0.5,2.5,3.7751367320176823,0.0071838888888888916,0.02205977777777778
WS_k4_p0.05,TitForTatStrategy,1.0,0.8,0.7994480220791169,0.5840797978841108,,0.5,2.5,2.0823771263187703,0.011761363636363636,0.09395833333333335
WS_k4_p0.1,ImitationStrategy,2.5,1.5,1.4860742912924287,,,0.5,2.5,3.456431592238215,0.0073573333333333355,0.021338944444444445
WS_k4_p0.1,TitForTatStrategy,0.5,1.2,1.2798956501831502,,,0.5,2.5,1.9766230235716857,0.042603021978021974,0.15376683501683502
