network,strategy,beta_c_peak_chi,beta_c_inflect_smax,beta_c_mid_smax,beta_c_thr_C,beta_c_thr_Smax,beta_min,beta_max,chi_peak,smax_min,smax_max
ER_k4,ImitationStrategy,5.0,1.0,1.7502915992198846,,,0.0,5.0,1.3315925984149892,0.0027476785714285667,0.006782166666666633
ER_k4,RLStrategy,2.5,2.0,2.3711932304164427,,2.899748022752525,0.0,5.0,3.9007483795858326,0.0053719722222222,0.2972615277777778
ER_k4,TitForTatStrategy,1.5,2.0,0.47891566265059676,1.0972447325769867,,0.0,5.0,1.4480097632519215,0.36702777777777773,0.3972777777777778
Grid_20x20,ImitationStrategy,5.0,4.5,3.5447759616875136,,,0.0,5.0,2.7207266706326303,0.007689437452326432,0.018877423371647467
Grid_20x20,RLStrategy,5.0,4.0,2.712888639160924,,,0.0,5.0,1.3241807703850024,0.0051214444444444,0.009252305555555533
Grid_20x20,TitForTatStrategy,0.0,0.0,0.0,2.904148088492056,,0.0,5.0,0.0,0.0025,0.0025
WS_k4_p0.1,ImitationStrategy,5.0,3.0,3.0660453197616437,,,0.0,5.0,3.25716637783558,0.008335466049382699,0.020362282430213433
WS_k4_p0.1,RLStrategy,5.0,1.5,2.4941971713810065,,,0.0,5.0,1.4112258673288016,0.005088499999999933,0.011176055555555533
WS_k4_p0.1,TitForTatStrategy,4.5,1.0,1.2479291001045236,1.482294078499927,,0.0,5.0,2.1614800144175135,0.03200757575757573,0.14429918121094584
