payoff,network,strategy,strategy_short,mean_barC,std_barC,mean_smax,std_smax,mean_chi,std_chi,Pr_allC,Pr_allD,mean_t_absorb,std_t_absorb
beta_0.00,ER_k4,ImitationStrategy,Imitate,0.08299999999999999,0.11158454691896684,0.01,0.0,0.0,0.0,0.0,0.3,700.6,482.07979975656866
beta_0.00,Grid_10x10,ImitationStrategy,Imitate,0.265,0.030276503540974904,,,,,0.0,1.0,2.0,0.0
beta_0.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.2475,0.028601670502884195,,,,,0.0,1.0,2.0,0.0
beta_0.50,ER_k4,ImitationStrategy,Imitate,0.04851111111111111,0.039488332391501776,0.01,0.0,0.0,0.0,0.0,0.5,505.1,521.6717678131847
beta_0.50,Grid_10x10,ImitationStrategy,Imitate,0.10133606393606394,0.022665554551926228,,,,,0.0,1.0,7.8,2.973961069759395
beta_0.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.11821746031746032,0.02179427352798392,,,,,0.0,1.0,7.7,2.8693785622209793
beta_1.00,ER_k4,ImitationStrategy,Imitate,0.05914043619216034,0.054145265855136335,0.01,0.0,0.0,0.0,0.0,0.5,508.7,517.8955385875504
beta_1.00,Grid_10x10,ImitationStrategy,Imitate,0.1372518315018315,0.030491284979559715,,,,,0.0,1.0,16.6,5.521674464226308
beta_1.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.15936936339522548,0.037808971131583866,,,,,0.0,1.0,14.7,10.530906893520616
beta_1.50,ER_k4,ImitationStrategy,Imitate,0.08357819658119657,0.06472515339998071,0.01159,0.0031799999999999997,0.15,0.3,0.0,0.6,413.3,504.98075870934593
beta_1.50,Grid_10x10,ImitationStrategy,Imitate,0.14960770695970696,0.04313430423597969,0.03542,,1.8399999999999999,,0.0,0.9,115.9,310.6907894783279
beta_1.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.17007607692307694,0.0691657564298843,0.031200000000000006,0.006844793641885785,1.5809523809523809,0.8215907362357979,0.0,0.8,211.5,415.62249163821195
beta_2.00,ER_k4,ImitationStrategy,Imitate,0.0455856885553471,0.03012985520493265,0.017885,0.005220889360471619,0.5875,0.38335921237696335,0.0,0.2,821.8,378.394503131322
beta_2.00,Grid_10x10,ImitationStrategy,Imitate,0.14493319234096763,0.06363586971803349,0.033679999999999995,,1.5,,0.0,0.9,119.0,309.8175090095602
beta_2.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.14740613423831073,0.05812887967193883,0.03257,0.00618011326757042,1.85,0.3535533905932738,0.0,0.8,218.0,412.47464568544495
beta_2.50,ER_k4,ImitationStrategy,Imitate,0.07679770515619072,0.057431171033811006,0.017376000000000003,0.004396030027194992,0.64,0.3781534080237808,0.0,0.5,521.0,505.3093661862559
beta_2.50,Grid_10x10,ImitationStrategy,Imitate,0.16361293555891535,0.06195147276815362,,,,,0.0,1.0,41.1,30.985480470697883
beta_2.50,WS_k4_p0.1,ImitationStrategy,Imitate,0.15493565989373348,0.0505505372547253,0.04192,,2.222857142857143,,0.0,0.9,136.0,305.7526233193538
beta_3.00,ER_k4,ImitationStrategy,Imitate,0.08357479710144929,0.07167307698671378,0.01898285714285714,0.010082476075326129,0.7609523809523809,0.6038816240564171,0.0,0.3,708.3,469.74840783835197
beta_3.00,Grid_10x10,ImitationStrategy,Imitate,0.14371498880881023,0.05426247732384945,0.039540000000000006,0.000919999999999997,1.7854761904761907,0.38291429329429627,0.0,0.6,419.3,500.0731168761446
beta_3.00,WS_k4_p0.1,ImitationStrategy,Imitate,0.17403648024948024,0.07283001454182857,0.04311500000000001,0.01304835494101332,2.1556156343656343,0.38309520870550146,0.0,0.6,411.3,506.72632324230665
